Time Relative (sec),Pressure_(mBar),Raw_Signal_Amps,mz,True_Concentration_ppm,Primary_Gas
25.462,1.473527482e-05,1.348881784e-09,16,100,Methane
25.699,1.481219351e-05,1.343124389e-09,16,100,Methane
25.935,1.457385224e-05,1.345609069e-09,16,100,Methane
26.172,1.46221555e-05,1.35115763e-09,16,100,Methane
26.409,1.471427368e-05,1.348666401e-09,16,100,Methane
26.646,1.473364046e-05,1.341938671e-09,16,100,Methane
26.883,1.479744424e-05,1.345763612e-09,16,100,Methane
27.119,1.475375848e-05,1.338902322e-09,16,100,Methane
27.356,1.472592885e-05,1.347771117e-09,16,100,Methane
27.593,1.470922962e-05,1.352486345e-09,16,100,Methane
27.83,1.473494558e-05,1.343661848e-09,16,100,Methane
28.067,1.47464134e-05,1.340403788e-09,16,100,Methane
28.303,1.476722809e-05,1.345433209e-09,16,100,Methane
28.54,1.471528503e-05,1.345756839e-09,16,100,Methane
28.777,1.476018133e-05,1.354086065e-09,16,100,Methane
29.014,1.474416331e-05,1.347354006e-09,16,100,Methane
29.251,1.486945439e-05,1.358069213e-09,16,100,Methane
29.487,1.481546133e-05,1.342600253e-09,16,100,Methane
29.724,1.490002705e-05,1.354019563e-09,16,100,Methane
29.961,1.480481751e-05,1.338626543e-09,16,100,Methane
30.198,1.472666099e-05,1.341898925e-09,16,100,Methane
30.435,1.472835629e-05,1.345139e-09,16,100,Methane
30.671,1.48027666e-05,1.338229971e-09,16,100,Methane
30.908,1.478351351e-05,1.341578182e-09,16,100,Methane
31.145,1.476532725e-05,1.340650146e-09,16,100,Methane
31.382,1.473014254e-05,1.336299738e-09,16,100,Methane
31.619,1.481050276e-05,1.345758505e-09,16,100,Methane
31.855,1.47797291e-05,1.335627942e-09,16,100,Methane
32.092,1.486307792e-05,1.344575784e-09,16,100,Methane
32.329,1.479903858e-05,1.337553845e-09,16,100,Methane
32.566,1.481520212e-05,1.343267275e-09,16,100,Methane
32.803,1.475247609e-05,1.340435984e-09,16,100,Methane
33.039,1.471524047e-05,1.338220756e-09,16,100,Methane
33.276,1.475850058e-05,1.344506395e-09,16,100,Methane
33.513,1.47735218e-05,1.343160805e-09,16,100,Methane
33.75,1.479529328e-05,1.3351108e-09,16,100,Methane
33.987,1.477400201e-05,1.34984357e-09,16,100,Methane
34.223,1.482463722e-05,1.327281063e-09,16,100,Methane
34.46,1.47710889e-05,1.343899769e-09,16,100,Methane
34.697,1.472825898e-05,1.349510281e-09,16,100,Methane
34.934,1.471482665e-05,1.339350075e-09,16,100,Methane
35.171,1.487690497e-05,1.348468448e-09,16,100,Methane
35.407,1.460720796e-05,1.365560109e-09,16,100,Methane
35.644,1.483230426e-05,1.361608271e-09,16,100,Methane
35.881,1.47761757e-05,1.358330337e-09,16,100,Methane
36.118,1.489846181e-05,1.370425107e-09,16,100,Methane
36.355,1.472476924e-05,1.353384294e-09,16,100,Methane
36.591,1.472780787e-05,1.358627544e-09,16,100,Methane
36.828,1.474453893e-05,1.350897505e-09,16,100,Methane
37.065,1.475520367e-05,1.346827205e-09,16,100,Methane
37.302,1.479049661e-05,1.339224398e-09,16,100,Methane
37.539,1.483310098e-05,1.342932654e-09,16,100,Methane
37.775,1.458085353e-05,1.349812928e-09,16,100,Methane
38.012,1.461813918e-05,1.356342372e-09,16,100,Methane
38.249,1.472332679e-05,1.356970647e-09,16,100,Methane
38.486,1.474189321e-05,1.34133793e-09,16,100,Methane
38.723,1.465991227e-05,1.34755318e-09,16,100,Methane
38.959,1.467148377e-05,1.342635558e-09,16,100,Methane
39.196,1.470854295e-05,1.34459599e-09,16,100,Methane
39.433,1.470972074e-05,1.342036371e-09,16,100,Methane
39.67,1.473727843e-05,1.369846125e-09,16,100,Methane
39.907,1.474852888e-05,1.365677349e-09,16,100,Methane
40.143,1.474102919e-05,1.354086065e-09,16,100,Methane
40.38,1.476171292e-05,1.337222222e-09,16,100,Methane
40.617,1.46966504e-05,1.353609891e-09,16,100,Methane
40.854,1.475247427e-05,1.336767919e-09,16,100,Methane
41.091,1.487117152e-05,1.346812994e-09,16,100,Methane
41.327,1.479109142e-05,1.352036372e-09,16,100,Methane
41.564,1.486772089e-05,1.34727085e-09,16,100,Methane
41.801,1.475397039e-05,1.332448263e-09,16,100,Methane
42.038,1.474890814e-05,1.33490452e-09,16,100,Methane
42.275,1.486825295e-05,1.336220912e-09,16,100,Methane
42.511,1.458201859e-05,1.349079515e-09,16,100,Methane
42.748,1.461916145e-05,1.342057021e-09,16,100,Methane
42.985,1.470443385e-05,1.347208234e-09,16,100,Methane
43.222,1.470012194e-05,1.354628631e-09,16,100,Methane
43.459,1.485889243e-05,1.348087419e-09,16,100,Methane
43.695,1.457629241e-05,1.335892508e-09,16,100,Methane
43.932,1.463633544e-05,1.343446021e-09,16,100,Methane
44.169,1.473759494e-05,1.336081357e-09,16,100,Methane
44.406,1.487644113e-05,1.339117039e-09,16,100,Methane
44.643,1.470706593e-05,1.350200285e-09,16,100,Methane
44.879,1.466102003e-05,1.347776446e-09,16,100,Methane
45.116,1.469877225e-05,1.329153454e-09,16,100,Methane
45.353,1.48423087e-05,1.348093082e-09,16,100,Methane
45.59,1.477814385e-05,1.338083311e-09,16,100,Methane
45.827,1.472639542e-05,1.33976541e-09,16,100,Methane
46.063,1.474183409e-05,1.345208611e-09,16,100,Methane
46.3,1.474983037e-05,1.332229993e-09,16,100,Methane
46.537,1.480542869e-05,1.3431386e-09,16,100,Methane
46.774,1.472750773e-05,1.346078138e-09,16,100,Methane
47.011,1.471567612e-05,1.348477885e-09,16,100,Methane
47.247,1.473304383e-05,1.345034084e-09,16,100,Methane
47.484,1.475072895e-05,1.349175105e-09,16,100,Methane
47.721,1.478980994e-05,1.337241984e-09,16,100,Methane
47.958,1.471849919e-05,1.350288659e-09,16,100,Methane
48.195,1.483997858e-05,1.351250112e-09,16,100,Methane
48.431,1.478762351e-05,1.342728484e-09,16,100,Methane
48.668,1.47152241e-05,1.33812128e-09,16,100,Methane
48.905,1.470500865e-05,1.330708099e-09,16,100,Methane
49.142,1.468380651e-05,1.3330409e-09,16,100,Methane
49.379,1.472110125e-05,1.334795718e-09,16,100,Methane
49.615,1.468702339e-05,1.332503441e-09,16,100,Methane
49.852,1.480754872e-05,1.342217559e-09,16,100,Methane
50.089,1.470557436e-05,1.340998756e-09,16,100,Methane
50.326,1.470076677e-05,1.342284506e-09,16,100,Methane
50.563,1.475851514e-05,1.349734102e-09,16,100,Methane
50.799,1.475597037e-05,1.351426193e-09,16,100,Methane
51.036,1.466229332e-05,1.342205791e-09,16,100,Methane
51.273,1.471167525e-05,1.334898192e-09,16,100,Methane
51.51,1.471737323e-05,1.335677124e-09,16,100,Methane
51.747,1.472070016e-05,1.331604604e-09,16,100,Methane
51.983,1.465769583e-05,1.33673872e-09,16,100,Methane
52.22,1.469074414e-05,1.334317434e-09,16,100,Methane
52.457,1.465676451e-05,1.337543187e-09,16,100,Methane
52.694,1.468879782e-05,1.32831679e-09,16,100,Methane
52.931,1.468209939e-05,1.331194488e-09,16,100,Methane
53.167,1.474380406e-05,1.332281951e-09,16,100,Methane
53.404,1.471078667e-05,1.327029486e-09,16,100,Methane
